timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585292292054,2805,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5248,562,1,1,http://loxodo.tech/api/warehouses/all,2805,0,2487
1585292294865,612,http://loxodo.tech/api/request-filters/all?type=0,200,OK,Thread Group 1-1,text,true,,1176,660,1,1,http://loxodo.tech/api/request-filters/all?type=0,612,0,284
1585292295480,393,http://loxodo.tech/api/transportation-types?page=0&limit=0,200,OK,Thread Group 1-1,text,true,,8367,669,1,1,http://loxodo.tech/api/transportation-types?limit=0&page=0,393,0,0
1585292295876,444,http://loxodo.tech/api/inrequest-v2/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=0&limit=50,200,OK,Thread Group 1-1,text,true,,417,715,1,1,http://loxodo.tech/api/inrequest-v2/?limit=50&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=0,444,0,0
1585292296322,344,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,343,0,0
1585292296668,475,"http://loxodo.tech/api/receive-tasks?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,823,732,1,1,http://loxodo.tech/api/receive-tasks?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,475,0,0
1585292297146,2825,http://loxodo.tech/api/zones/receiving?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,200,OK,Thread Group 1-1,text,true,,923,699,1,1,http://loxodo.tech/api/zones/receiving?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2825,0,2483
1585292299974,2532,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,598,0,281
1585292302507,1116,"http://loxodo.tech/api/putaway-tasks/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,1209,733,1,1,http://loxodo.tech/api/putaway-tasks/?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,1116,0,279
1585292303624,354,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,353,0,0
1585292303981,660,http://loxodo.tech/api/in-doc?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,11357,706,1,1,http://loxodo.tech/api/in-doc?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,660,0,0
1585292304644,3540,"http://loxodo.tech/api/in-doc?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,11357,775,1,1,http://loxodo.tech/api/in-doc?limit=50&page=1&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2942,0,2521
1585292308186,5123,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,4190,0,282
1585292313311,662,http://loxodo.tech/api/request-filters/all?type=1,200,OK,Thread Group 1-1,text,true,,407,660,1,1,http://loxodo.tech/api/request-filters/all?type=1,662,0,282
1585292313975,350,http://loxodo.tech/api/transportation-types?page=0&limit=0,200,OK,Thread Group 1-1,text,true,,8367,669,1,1,http://loxodo.tech/api/transportation-types?limit=0&page=0,350,0,0
1585292314326,1958,"http://loxodo.tech/api/outbound-requests/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2293,784,1,1,http://loxodo.tech/api/outbound-requests/?doc_status=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1958,0,0
1585292316287,1074,"http://loxodo.tech/api/outbound-requests/items?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&limit=0&page=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2339,804,1,1,http://loxodo.tech/api/outbound-requests/items?doc_status=0&limit=0&page=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1074,0,277
1585292317363,3030,http://loxodo.tech/api/request-filters/all?type=1,200,OK,Thread Group 1-1,text,true,,407,660,1,1,http://loxodo.tech/api/request-filters/all?type=1,3030,0,0
1585292320396,646,http://loxodo.tech/api/transportation-types?page=0&limit=0,200,OK,Thread Group 1-1,text,true,,8367,669,1,1,http://loxodo.tech/api/transportation-types?limit=0&page=0,646,0,278
1585292321044,316,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,316,0,0
